"","lead","non","year"
"872","11214-19","11214-19",2006
"873","11328-76","11214-19",2006
"874","11170-81","11328-76",2006
"875","11214-19","11328-76",2006
"876","11328-76","11328-76",2006
"877","10905-04","10905-04",2017
"878","124929-64","10905-04",2017
"879","51061-60","10905-04",2017
"880","10905-04","124929-64",2017
"881","124929-64","124929-64",2017
"882","51061-60","124929-64",2017
"883","10905-04","51061-60",2017
"884","124929-64","51061-60",2017
"885","51061-60","51061-60",2017
"886","10156-69","10156-69",2007
"887","10398-70","10156-69",2007
"888","10156-69","10398-70",2007
"889","10398-70","10398-70",2007
"890","10156-69","10398-97",2007
"891","10398-70","10398-97",2007
"892","10156-69","11151-28",2007
"893","10398-70","11151-28",2007
"894","10156-69","11251-81",2007
"895","10398-70","11251-81",2007
"896","10156-69","11295-82",2007
"897","10398-70","11295-82",2007
"898","54400-78","166856-32",2018
"899","54400-78","54400-78",2018
"900","155247-58","11157-76",2018
"901","155247-58","155247-58",2018
"902","155247-58","41013-28",2018
"903","155247-58","54365-95",2018
"904","54726-76","168590-98",2018
"905","54726-76","54726-76",2018
"906","54726-76","54892-09",2018
"907","54726-76","60306-49",2018
"908","125471-53","125471-53",2018
"909","59991-67","125471-53",2018
"910","125471-53","59991-67",2018
"911","59991-67","59991-67",2018
"912","148770-82","108166-06",2018
"913","182080-00","108166-06",2018
"914","51311-35","108166-06",2018
"915","148770-82","148770-82",2018
"916","182080-00","148770-82",2018
"917","51311-35","148770-82",2018
"918","148770-82","182080-00",2018
"919","182080-00","182080-00",2018
"920","51311-35","182080-00",2018
"921","148770-82","225932-50",2018
"922","182080-00","225932-50",2018
"923","51311-35","225932-50",2018
"924","148770-82","51311-35",2018
"925","182080-00","51311-35",2018
"926","51311-35","51311-35",2018
"927","65426-59","161124-76",2018
"928","65426-59","173538-55",2018
"929","65426-59","52359-49",2018
"930","65426-59","65426-59",2018
"931","65426-59","98047-09",2018
"932","10139-41","10139-41",2018
"933","11258-56","10139-41",2018
"934","10139-41","11258-56",2018
"935","11258-56","11258-56",2018
"936","10139-41","56355-94",2018
"937","11258-56","56355-94",2018
"938","11281-06","11281-06",2007
"939","11281-06","11303-56",2007
"940","11333-26","11333-26",2018
"941","167913-64","11333-26",2018
"942","58062-52","11333-26",2018
"943","11333-26","167913-64",2018
"944","167913-64","167913-64",2018
"945","58062-52","167913-64",2018
"946","11333-26","58062-52",2018
"947","167913-64","58062-52",2018
"948","58062-52","58062-52",2018
"949","55261-00","226992-70",2017
"950","55261-00","55261-00",2017
"951","25338-70","115611-49",2018
"952","25338-70","25338-70",2018
"953","11132-38","11132-38",2018
"954","11132-38","42202-18",2018
"955","11132-38","53539-93",2018
"956","58994-74","51639-76",2018
"957","58994-74","54588-07",2018
"958","58994-74","58994-74",2018
"959","51327-55","108167-86",2018
"960","51327-55","41706-10",2018
"961","51327-55","51327-55",2018
"962","51327-55","60480-82",2018
"963","10135-81","10135-81",2018
"964","10135-81","50980-24",2018
"965","56355-94","181700-29",2017
"966","56355-94","56355-94",2017
"967","11315-62","10123-03",2017
"968","11315-62","102235-42",2017
"969","11315-62","11303-02",2017
"970","11315-62","11315-62",2017
"971","11315-62","149720-23",2017
"972","11315-62","162578-26",2017
"973","11315-62","178234-03",2017
"974","11315-62","43058-08",2017
"975","11315-62","50980-60",2017
"976","155247-58","11108-17",2018
"977","155247-58","11170-63",2018
"978","155247-58","155247-58",2018
"979","155247-58","52196-50",2018
"980","226101-34","226101-34",2017
"981","226101-61","226101-34",2017
"982","226101-34","226101-61",2017
"983","226101-61","226101-61",2017
"984","153396-64","153396-64",2018
"985","153396-64","61514-20",2018
"986","11229-04","11154-43",2018
"987","11229-04","11229-04",2018
"988","11229-04","11274-22",2018
"989","11229-04","156736-99",2018
"990","11229-04","157839-49",2018
"991","65898-19","52202-35",2018
"992","65898-19","55161-46",2018
"993","65898-19","65898-19",2018
"994","56199-52","151082-47",2018
"995","66064-60","151082-47",2018
"996","56199-52","153826-03",2018
"997","66064-60","153826-03",2018
"998","56199-52","155590-75",2018
"999","66064-60","155590-75",2018
"1000","56199-52","159103-54",2018
"1001","66064-60","159103-54",2018
"1002","56199-52","168471-82",2018
"1003","66064-60","168471-82",2018
"1004","56199-52","184097-26",2018
"1005","66064-60","184097-26",2018
"1006","56199-52","185891-41",2018
"1007","66064-60","185891-41",2018
"1008","56199-52","54134-74",2018
"1009","66064-60","54134-74",2018
"1010","56199-52","56199-52",2018
"1011","66064-60","56199-52",2018
"1012","56199-52","66064-60",2018
"1013","66064-60","66064-60",2018
"1014","56199-52","82688-41",2018
"1015","66064-60","82688-41",2018
"1016","135871-75","135871-75",2018
"1017","135871-75","185886-37",2018
"1018","11333-26","10139-41",2018
"1019","11333-26","11333-26",2018
"1020","11333-26","51709-96",2018
"1021","11321-29","11154-70",2018
"1022","11321-29","11321-29",2018
"1023","11321-29","40829-14",2018
"1024","11321-29","52653-25",2018
"1025","11321-29","53333-83",2018
"1026","42944-05","42944-05",2008
"1027","56764-90","42944-05",2008
"1028","42944-05","56764-90",2008
"1029","56764-90","56764-90",2008
"1030","11174-14","11174-14",2018
"1031","158505-31","11174-14",2018
"1032","11174-14","158505-31",2018
"1033","158505-31","158505-31",2018
"1034","11174-14","186571-63",2018
"1035","158505-31","186571-63",2018
"1036","53715-43","51762-25",2018
"1037","53715-43","52775-83",2018
"1038","53715-43","53715-43",2018
"1039","53715-43","54094-15",2018
"1040","53715-43","61372-27",2018
"1041","61279-39","61279-39",2018
"1042","61279-39","96266-35",2018
"1043","42715-00","11281-06",2018
"1044","42715-00","149517-28",2018
"1045","42715-00","155859-76",2018
"1046","42715-00","24981-04",2018
"1047","42715-00","42715-00",2018
"1048","42715-00","60139-90",2018
"1049","42715-00","64094-50",2018
"1050","10364-77","10364-77",2018
"1051","10364-77","155247-58",2018
"1052","10364-77","228319-66",2018
"1053","11251-81","11229-04",2018
"1054","11251-81","11242-54",2018
"1055","11251-81","11251-81",2018
"1056","11251-81","11261-80",2018
"1057","11251-81","149720-23",2018
"1058","11251-81","159299-83",2018
"1059","11251-81","181596-52",2018
"1060","11251-81","221490-28",2018
"1061","11251-81","58373-20",2018
"1062","96060-25","51094-99",2018
"1063","96060-25","55285-66",2018
"1064","96060-25","96060-25",2018
"1065","167492-08","11216-62",2018
"1066","167492-08","162698-77",2018
"1067","167492-08","167492-08",2018
"1068","152407-00","152407-00",2018
"1069","152407-00","54400-78",2018
"1070","152407-00","54840-88",2018
"1071","11274-22","11189-44",2018
"1072","11274-22","11274-22",2018
"1073","11274-22","11290-51",2018
"1074","11274-22","42183-19",2018
"1075","11258-83","11258-83",2018
"1076","11258-83","51089-77",2018
"1077","11258-83","55457-02",2018
"1078","11258-83","55879-21",2018
"1079","11258-83","59286-07",2018
"1080","11266-84","11266-84",2018
"1081","11274-22","11266-84",2018
"1082","11266-84","11274-22",2018
"1083","11274-22","11274-22",2018
"1084","11266-84","121238-02",2018
"1085","11274-22","121238-02",2018
"1086","11266-84","62584-57",2018
"1087","11274-22","62584-57",2018
"1088","52773-04","100357-12",2018
"1089","52773-04","52773-04",2018
"1090","52773-04","63638-83",2018
"1091","54726-76","42715-00",2018
"1092","54726-76","54726-76",2018
"1093","54726-76","57379-15",2018
"1094","11191-96","11191-96",2018
"1095","11216-98","11191-96",2018
"1096","11191-96","11216-98",2018
"1097","11216-98","11216-98",2018
"1098","10156-69","10156-69",2018
"1099","10156-69","106900-39",2018
"1100","10156-69","11326-33",2018
"1101","10156-69","51004-18",2018
"1102","25255-63","10156-69",2018
"1103","25255-63","25255-63",2018
"1104","25255-63","54613-90",2018
"1105","25255-63","56336-41",2018
"1106","25255-63","58804-66",2018
"1107","25255-63","62158-15",2018
"1108","11321-29","11321-29",2018
"1109","11321-29","149028-13",2018
"1110","89936-74","11281-06",2018
"1111","89936-74","55778-14",2018
"1112","89936-74","89936-74",2018
"1113","181279-45","181279-45",2018
"1114","52363-99","181279-45",2018
"1115","181279-45","52363-99",2018
"1116","52363-99","52363-99",2018
"1117","54201-61","54201-61",2016
"1118","55787-59","54201-61",2016
"1119","54201-61","55787-59",2016
"1120","55787-59","55787-59",2016
"1121","183210-58","183210-58",2018
"1122","183210-58","226307-98",2018
"1123","183210-58","62231-95",2018
"1124","40993-12","157412-62",2018
"1125","40993-12","40993-12",2018
"1126","11333-26","11229-04",2018
"1127","11333-26","11333-26",2018
"1128","11333-26","51254-02",2018
"1129","11333-26","55612-00",2018
"1130","11333-26","56833-03",2018
"1131","55346-23","11300-32",2018
"1132","55346-23","167489-20",2018
"1133","55346-23","55346-23",2018
"1134","51249-34","11228-50",2018
"1135","51249-34","11308-51",2018
"1136","51249-34","51249-34",2018
"1137","51097-51","51001-03",2018
"1138","62320-15","51001-03",2018
"1139","51097-51","51097-51",2018
"1140","62320-15","51097-51",2018
"1141","51097-51","60961-06",2018
"1142","62320-15","60961-06",2018
"1143","51097-51","62320-15",2018
"1144","62320-15","62320-15",2018
"1145","51097-51","92869-39",2018
"1146","62320-15","92869-39",2018
"1147","11251-81","11251-81",2018
"1148","11251-81","41716-90",2018
"1149","226350-91","107272-72",2018
"1150","226350-91","179458-12",2018
"1151","226350-91","226350-91",2018
"1152","11266-84","10905-04",2018
"1153","124929-64","10905-04",2018
"1154","223703-20","10905-04",2018
"1155","11266-84","11266-84",2018
"1156","124929-64","11266-84",2018
"1157","223703-20","11266-84",2018
"1158","11266-84","124929-64",2018
"1159","124929-64","124929-64",2018
"1160","223703-20","124929-64",2018
"1161","11266-84","223703-20",2018
"1162","124929-64","223703-20",2018
"1163","223703-20","223703-20",2018
"1164","11266-84","58663-63",2018
"1165","124929-64","58663-63",2018
"1166","223703-20","58663-63",2018
"1167","56289-61","181700-29",2018
"1168","56289-61","25332-67",2018
"1169","56289-61","56289-61",2018
"1170","56289-61","61514-20",2018
"1171","56289-61","61655-59",2018
"1172","63781-30","11118-97",2018
"1173","63781-30","156680-38",2018
"1174","63781-30","52653-25",2018
"1175","63781-30","63781-30",2018
"1176","96993-64","25359-76",2018
"1177","96993-64","91701-10",2018
"1178","96993-64","96993-64",2018
"1179","11107-72","107510-32",2018
"1180","11107-72","11107-72",2018
"1181","11107-72","152532-37",2018
"1182","10139-41","10139-41",2018
"1183","11228-50","10139-41",2018
"1184","10139-41","11159-74",2018
"1185","11228-50","11159-74",2018
"1186","10139-41","11228-50",2018
"1187","11228-50","11228-50",2018
"1188","10139-41","50984-74",2018
"1189","11228-50","50984-74",2018
"1190","40773-97","11281-06",2018
"1191","40773-97","11315-62",2018
"1192","40773-97","40773-97",2018
"1193","40773-97","50943-70",2018
"1194","40773-97","51625-90",2018
"1195","40773-97","55346-14",2018
"1196","40773-97","56059-66",2018
"1197","89936-74","89936-74",2018
"1198","89936-74","91701-10",2018
"1199","158595-22","158595-22",2018
"1200","158595-22","58046-32",2018
"1201","43058-08","43058-08",2018
"1202","43058-08","56355-94",2018
"1203","91701-10","179175-34",2018
"1204","91701-10","91701-10",2018
"1205","11174-14","11174-14",2018
"1206","11174-14","11328-58",2018
"1207","11174-14","50980-24",2018
"1208","11216-98","11216-98",2018
"1209","11216-98","93383-56",2018
"1210","62349-85","10660-69",2018
"1211","62349-85","54582-49",2018
"1212","62349-85","62349-85",2018
"1213","62349-85","95532-94",2018
"1214","10563-22","104637-97",2018
"1215","10563-22","10563-22",2018
"1216","10563-22","55161-46",2018
"1217","11251-81","11251-81",2018
"1218","11251-81","184802-23",2018
"1219","226472-59","11230-66",2018
"1220","226472-59","152528-68",2018
"1221","226472-59","226472-59",2018
"1222","11328-67","11328-67",2018
"1223","159429-52","11328-67",2018
"1224","11328-67","159429-52",2018
"1225","159429-52","159429-52",2018
"1226","11270-53","11216-98",2018
"1227","11270-53","11270-53",2018
"1228","11270-53","11281-06",2018
"1229","11270-53","42202-18",2018
"1230","11270-53","51625-90",2018
"1231","56144-62","11331-01",2018
"1232","97548-85","11331-01",2018
"1233","56144-62","182462-95",2018
"1234","97548-85","182462-95",2018
"1235","56144-62","55747-99",2018
"1236","97548-85","55747-99",2018
"1237","56144-62","56144-62",2018
"1238","97548-85","56144-62",2018
"1239","56144-62","97548-85",2018
"1240","97548-85","97548-85",2018
"1241","11135-71","11135-71",2018
"1242","53788-78","11135-71",2018
"1243","11135-71","53788-78",2018
"1244","53788-78","53788-78",2018
"1245","115615-54","11114-38",2018
"1246","115615-54","115615-54",2018
"1247","54079-75","168097-06",2018
"1248","54079-75","54079-75",2018
"1249","54079-75","93383-56",2018
"1250","114710-05","114710-05",2018
"1251","54079-75","114710-05",2018
"1252","114710-05","54079-75",2018
"1253","54079-75","54079-75",2018
"1254","56380-87","184608-82",2018
"1255","56380-87","40829-14",2018
"1256","56380-87","50980-51",2018
"1257","56380-87","50980-69",2018
"1258","56380-87","56380-87",2018
"1259","56380-87","56697-76",2018
"1260","61257-07","53407-63",2017
"1261","61257-07","61257-07",2017
"1262","226489-87","226489-87",2018
"1263","226489-87","52827-67",2018
"1264","91701-10","226521-64",2018
"1265","91701-10","91701-10",2018
"1266","11877-94","11877-94",2018
"1267","50986-90","11877-94",2018
"1268","11877-94","179487-82",2018
"1269","50986-90","179487-82",2018
"1270","11877-94","50986-90",2018
"1271","50986-90","50986-90",2018
"1272","11877-94","60082-66",2018
"1273","50986-90","60082-66",2018
"1274","168558-13","11165-50",2018
"1275","168558-13","168558-13",2018
"1276","168558-13","58222-18",2018
"1277","168558-13","91701-10",2018
"1278","62577-19","51322-24",2018
"1279","62577-19","53005-78",2018
"1280","62577-19","53906-41",2018
"1281","62577-19","54812-17",2018
"1282","62577-19","62577-19",2018
"1283","11300-05","11300-05",2018
"1284","11300-05","55763-56",2018
"1285","11143-54","11143-54",2018
"1286","11143-54","11312-11",2018
"1287","11143-54","40995-55",2018
"1288","11143-54","52791-40",2018
"1289","11143-54","54094-15",2018
"1290","52363-99","52363-99",2018
"1291","52363-99","61372-27",2018
"1292","163541-08","163541-08",2018
"1293","61838-11","163541-08",2018
"1294","163541-08","61838-11",2018
"1295","61838-11","61838-11",2018
"1296","155248-48","11166-58",2018
"1297","53715-43","11166-58",2018
"1298","155248-48","11227-60",2018
"1299","53715-43","11227-60",2018
"1300","155248-48","155248-48",2018
