"","lead","non","year"
"554","51023-26","51023-26",2018
"555","11237-50","11237-50",2018
"556","11303-02","11237-50",2018
"557","11237-50","11303-02",2018
"558","11303-02","11303-02",2018
"559","61448-50","60806-08",2018
"560","61448-50","61448-50",2018
"561","54840-88","111146-41",2018
"562","54840-88","54840-88",2018
"563","166812-76","163995-04",2017
"564","166812-76","166812-76",2017
"565","10134-73","10134-73",2018
"566","11877-94","10134-73",2018
"567","59938-66","10134-73",2018
"568","10134-73","11877-94",2018
"569","11877-94","11877-94",2018
"570","59938-66","11877-94",2018
"571","10134-73","226843-57",2018
"572","11877-94","226843-57",2018
"573","59938-66","226843-57",2018
"574","10134-73","59938-66",2018
"575","11877-94","59938-66",2018
"576","59938-66","59938-66",2018
"577","42202-18","11209-51",2018
"578","42202-18","185194-90",2018
"579","42202-18","42202-18",2018
"580","42202-18","60676-84",2018
"581","11258-83","11258-83",2018
"582","11258-83","11296-45",2018
"583","11258-83","139935-07",2018
"584","11258-83","154240-03",2018
"585","45704-44","125084-71",2018
"586","45704-44","41706-10",2018
"587","45704-44","45704-44",2018
"588","45704-44","51639-67",2018
"589","45704-44","56078-47",2018
"590","167492-08","167492-08",2018
"591","60951-61","167492-08",2018
"592","167492-08","50980-60",2018
"593","60951-61","50980-60",2018
"594","167492-08","60951-61",2018
"595","60951-61","60951-61",2018
"596","40773-97","11228-50",2018
"597","40773-97","11251-81",2018
"598","40773-97","11295-73",2018
"599","40773-97","40773-97",2018
"600","40773-97","51625-90",2018
"601","40773-97","54855-55",2018
"602","11223-28","11110-06",2018
"603","11223-28","11223-28",2018
"604","11223-28","11323-45",2018
"605","11223-28","54613-90",2018
"606","11223-28","97548-85",2018
"607","89936-74","11204-20",2018
"608","89936-74","11251-81",2018
"609","89936-74","89936-74",2018
"610","62030-98","39717-73",2017
"611","62030-98","62030-98",2017
"612","11127-25","11127-25",2018
"613","11127-25","163857-07",2018
"614","10134-73","10134-73",2018
"615","62157-25","10134-73",2018
"616","10134-73","62157-25",2018
"617","62157-25","62157-25",2018
"618","10134-73","97730-74",2018
"619","62157-25","97730-74",2018
"620","57781-45","48176-38",2018
"621","57781-45","50980-60",2018
"622","57781-45","52815-70",2018
"623","57781-45","54207-19",2018
"624","57781-45","54886-96",2018
"625","57781-45","57781-45",2018
"626","57781-45","60139-90",2018
"627","186756-40","11201-59",2018
"628","186756-40","186756-40",2018
"629","186756-40","55271-44",2018
"630","186756-40","56199-52",2018
"631","115615-54","10215-73",2018
"632","115615-54","115615-54",2018
"633","115615-54","53656-12",2018
"634","184169-53","169403-77",2018
"635","184169-53","184169-53",2018
"636","11240-47","10905-04",2018
"637","11240-47","11158-39",2018
"638","11240-47","11191-87",2018
"639","11240-47","11216-26",2018
"640","11240-47","11240-47",2018
"641","11240-47","155248-48",2018
"642","11216-98","10139-41",2018
"643","11216-98","11201-59",2018
"644","11216-98","11216-98",2018
"645","11216-98","11237-50",2018
"646","11216-98","52296-76",2018
"647","42202-18","115611-49",2018
"648","42202-18","42202-18",2018
"649","42202-18","51097-51",2018
"650","42202-18","51472-63",2018
"651","122758-48","122758-48",2018
"652","122758-48","51738-58",2018
"653","170053-39","170053-39",2018
"654","170053-39","170120-35",2018
"655","10353-97","10353-97",2002
"656","10353-97","10355-77",2002
"657","10353-97","11336-95",2002
"658","11189-44","11189-44",2018
"659","11189-44","227345-86",2018
"660","11189-44","24981-04",2018
"661","11189-44","41895-55",2018
