Scenario,Replication,Object Type,Object Name,Data Source,Category,Data Item,Statistic Type,Value
Scenario1,2,DefaultEntity,Person,[Population],FlowTime,TimeInSystem,Average,4.57154654292586
Scenario1,3,DefaultEntity,Person,[Population],FlowTime,TimeInSystem,Average,3.28052964301702
Scenario1,4,DefaultEntity,Person,[Population],FlowTime,TimeInSystem,Average,3.39341146708795
Scenario1,5,DefaultEntity,Person,[Population],FlowTime,TimeInSystem,Average,3.43568584504835
Scenario1,6,DefaultEntity,Person,[Population],FlowTime,TimeInSystem,Average,2.94776860397362
Scenario1,7,DefaultEntity,Person,[Population],FlowTime,TimeInSystem,Average,3.7750687330135
Scenario1,8,DefaultEntity,Person,[Population],FlowTime,TimeInSystem,Average,3.72125170338194
Scenario1,9,DefaultEntity,Person,[Population],FlowTime,TimeInSystem,Average,3.24574592148859
Scenario1,10,DefaultEntity,Person,[Population],FlowTime,TimeInSystem,Average,3.00210610025468
Scenario1,1,DefaultEntity,Person,[Population],FlowTime,TimeInSystem,Maximum,23.7977879093379
Scenario1,2,DefaultEntity,Person,[Population],FlowTime,TimeInSystem,Maximum,23.2926061121872
Scenario1,3,DefaultEntity,Person,[Population],FlowTime,TimeInSystem,Maximum,23.097402135957
Scenario1,4,DefaultEntity,Person,[Population],FlowTime,TimeInSystem,Maximum,23.3952144580333
Scenario1,5,DefaultEntity,Person,[Population],FlowTime,TimeInSystem,Maximum,20.9502697913125
Scenario1,6,DefaultEntity,Person,[Population],FlowTime,TimeInSystem,Maximum,23.1528282382499
Scenario1,7,DefaultEntity,Person,[Population],FlowTime,TimeInSystem,Maximum,23.6960138535626
Scenario1,8,DefaultEntity,Person,[Population],FlowTime,TimeInSystem,Maximum,21.7114690291606
Scenario1,9,DefaultEntity,Person,[Population],FlowTime,TimeInSystem,Maximum,23.7324218434046
Scenario1,10,DefaultEntity,Person,[Population],FlowTime,TimeInSystem,Maximum,21.0213131686188
Scenario1,1,DefaultEntity,Person,[Population],FlowTime,TimeInSystem,Minimum,0.0942951694116716
Scenario1,2,DefaultEntity,Person,[Population],FlowTime,TimeInSystem,Minimum,0.0922293416402571
Scenario1,3,DefaultEntity,Person,[Population],FlowTime,TimeInSystem,Minimum,0.0899560399890937
Scenario1,4,DefaultEntity,Person,[Population],FlowTime,TimeInSystem,Minimum,0.0413760370981016
Scenario1,5,DefaultEntity,Person,[Population],FlowTime,TimeInSystem,Minimum,0.107245707147788
Scenario1,6,DefaultEntity,Person,[Population],FlowTime,TimeInSystem,Minimum,0.0791217655610446
Scenario1,7,DefaultEntity,Person,[Population],FlowTime,TimeInSystem,Minimum,0.107121322490137
Scenario1,8,DefaultEntity,Person,[Population],FlowTime,TimeInSystem,Minimum,0.0956827914327343
Scenario1,9,DefaultEntity,Person,[Population],FlowTime,TimeInSystem,Minimum,0.100344457894128
Scenario1,10,DefaultEntity,Person,[Population],FlowTime,TimeInSystem,Minimum,0.112659373793024
Scenario1,1,DefaultEntity,Person,[Population],FlowTime,TimeInSystem,Observations,265
Scenario1,2,DefaultEntity,Person,[Population],FlowTime,TimeInSystem,Observations,280
Scenario1,3,DefaultEntity,Person,[Population],FlowTime,TimeInSystem,Observations,286
Scenario1,4,DefaultEntity,Person,[Population],FlowTime,TimeInSystem,Observations,271
Scenario1,5,DefaultEntity,Person,[Population],FlowTime,TimeInSystem,Observations,283
Scenario1,6,DefaultEntity,Person,[Population],FlowTime,TimeInSystem,Observations,275
Scenario1,7,DefaultEntity,Person,[Population],FlowTime,TimeInSystem,Observations,296
Scenario1,8,DefaultEntity,Person,[Population],FlowTime,TimeInSystem,Observations,263
Scenario1,9,DefaultEntity,Person,[Population],FlowTime,TimeInSystem,Observations,286
Scenario1,10,DefaultEntity,Person,[Population],FlowTime,TimeInSystem,Observations,259
Scenario1,1,DefaultEntity,Person,[Population],Throughput,NumberCreated,Total,8623
Scenario1,2,DefaultEntity,Person,[Population],Throughput,NumberCreated,Total,8634
Scenario1,3,DefaultEntity,Person,[Population],Throughput,NumberCreated,Total,8654
Scenario1,4,DefaultEntity,Person,[Population],Throughput,NumberCreated,Total,8684
Scenario1,5,DefaultEntity,Person,[Population],Throughput,NumberCreated,Total,8654
Scenario1,6,DefaultEntity,Person,[Population],Throughput,NumberCreated,Total,8500
Scenario1,7,DefaultEntity,Person,[Population],Throughput,NumberCreated,Total,8666
Scenario1,8,DefaultEntity,Person,[Population],Throughput,NumberCreated,Total,8470
Scenario1,9,DefaultEntity,Person,[Population],Throughput,NumberCreated,Total,8540
Scenario1,10,DefaultEntity,Person,[Population],Throughput,NumberCreated,Total,8724
Scenario1,1,DefaultEntity,Person,[Population],Throughput,NumberDestroyed,Total,265
Scenario1,2,DefaultEntity,Person,[Population],Throughput,NumberDestroyed,Total,280
Scenario1,3,DefaultEntity,Person,[Population],Throughput,NumberDestroyed,Total,286
Scenario1,4,DefaultEntity,Person,[Population],Throughput,NumberDestroyed,Total,271
Scenario1,5,DefaultEntity,Person,[Population],Throughput,NumberDestroyed,Total,283
Scenario1,6,DefaultEntity,Person,[Population],Throughput,NumberDestroyed,Total,275
Scenario1,7,DefaultEntity,Person,[Population],Throughput,NumberDestroyed,Total,296
Scenario1,8,DefaultEntity,Person,[Population],Throughput,NumberDestroyed,Total,263
Scenario1,9,DefaultEntity,Person,[Population],Throughput,NumberDestroyed,Total,286
Scenario1,10,DefaultEntity,Person,[Population],Throughput,NumberDestroyed,Total,259
Scenario1,1,E_Route_Model,E_Route_Model,[Object],Costs,TotalCost,Total,0
Scenario1,2,E_Route_Model,E_Route_Model,[Object],Costs,TotalCost,Total,0
Scenario1,3,E_Route_Model,E_Route_Model,[Object],Costs,TotalCost,Total,0
Scenario1,4,E_Route_Model,E_Route_Model,[Object],Costs,TotalCost,Total,0
Scenario1,5,E_Route_Model,E_Route_Model,[Object],Costs,TotalCost,Total,0
Scenario1,6,E_Route_Model,E_Route_Model,[Object],Costs,TotalCost,Total,0
Scenario1,7,E_Route_Model,E_Route_Model,[Object],Costs,TotalCost,Total,0
Scenario1,8,E_Route_Model,E_Route_Model,[Object],Costs,TotalCost,Total,0
Scenario1,9,E_Route_Model,E_Route_Model,[Object],Costs,TotalCost,Total,0
Scenario1,10,E_Route_Model,E_Route_Model,[Object],Costs,TotalCost,Total,0
Scenario1,1,Sink,Sink1,[DestroyedEntities],FlowTime,TimeInSystem,Average,3.2845836485823
Scenario1,2,Sink,Sink1,[DestroyedEntities],FlowTime,TimeInSystem,Average,4.2226914143807
Scenario1,3,Sink,Sink1,[DestroyedEntities],FlowTime,TimeInSystem,Average,3.62260691396822
Scenario1,4,Sink,Sink1,[DestroyedEntities],FlowTime,TimeInSystem,Average,4.47973170965936
Scenario1,5,Sink,Sink1,[DestroyedEntities],FlowTime,TimeInSystem,Average,4.38260670803374
Scenario1,6,Sink,Sink1,[DestroyedEntities],FlowTime,TimeInSystem,Average,1.85985245352288
Scenario1,7,Sink,Sink1,[DestroyedEntities],FlowTime,TimeInSystem,Average,4.54096254718144
Scenario1,8,Sink,Sink1,[DestroyedEntities],FlowTime,TimeInSystem,Average,4.78530366824362
Scenario1,9,Sink,Sink1,[DestroyedEntities],FlowTime,TimeInSystem,Average,2.93355574079574
Scenario1,10,Sink,Sink1,[DestroyedEntities],FlowTime,TimeInSystem,Average,3.41643088228631
Scenario1,1,Sink,Sink1,[DestroyedEntities],FlowTime,TimeInSystem,HalfWidth,NaN
Scenario1,2,Sink,Sink1,[DestroyedEntities],FlowTime,TimeInSystem,HalfWidth,NaN
Scenario1,3,Sink,Sink1,[DestroyedEntities],FlowTime,TimeInSystem,HalfWidth,NaN
Scenario1,4,Sink,Sink1,[DestroyedEntities],FlowTime,TimeInSystem,HalfWidth,NaN
Scenario1,5,Sink,Sink1,[DestroyedEntities],FlowTime,TimeInSystem,HalfWidth,NaN
Scenario1,6,Sink,Sink1,[DestroyedEntities],FlowTime,TimeInSystem,HalfWidth,NaN
Scenario1,7,Sink,Sink1,[DestroyedEntities],FlowTime,TimeInSystem,HalfWidth,NaN
Scenario1,8,Sink,Sink1,[DestroyedEntities],FlowTime,TimeInSystem,HalfWidth,NaN
Scenario1,9,Sink,Sink1,[DestroyedEntities],FlowTime,TimeInSystem,HalfWidth,NaN
Scenario1,10,Sink,Sink1,[DestroyedEntities],FlowTime,TimeInSystem,HalfWidth,NaN
Scenario1,1,Sink,Sink1,[DestroyedEntities],FlowTime,TimeInSystem,Maximum,7.24045923481207
Scenario1,2,Sink,Sink1,[DestroyedEntities],FlowTime,TimeInSystem,Maximum,9.73103474343466
Scenario1,3,Sink,Sink1,[DestroyedEntities],FlowTime,TimeInSystem,Maximum,5.53815065394717
