"","x"
"1084",57399788
"1085",57399861
"1086",57449541
"1087",57569847
"1088",57589744
"1089",57689938
"1090",57779734
"1091",57859959
"1092",57939795
"1093",57949815
"1094",58069679
"1095",58139872
"1096",58159772
"1097",58159858
"1098",58199914
"1099",58239876
"1100",58349654
"1101",58369810
"1102",58489985
"1103",58529610
"1104",58689974
"1105",58719644
"1106",58729738
"1107",58849831
"1108",58899896
"1109",58959780
"1110",58999710
"1111",59119807
"1112",59149553
"1113",59169761
"1114",59169929
"1115",59349761
"1116",59349779
"1117",59389751
"1118",59429956
"1119",59599958
"1120",59609976
"1121",59619819
"1122",59629812
"1123",59649884
"1124",59719949
"1125",59729769
"1126",59749760
"1127",59779946
"1128",59829985
"1129",59859922
"1130",59869621
"1131",59869772
"1132",59979982
"1133",59989974
"1134",59999924
"1135",60279873
"1136",60449968
"1137",60489924
"1138",60500000
"1139",60529787
"1140",60549975
"1141",60569799
"1142",60589848
"1143",60609935
"1144",60629976
"1145",60679910
"1146",60679980
"1147",60749938
"1148",60899989
"1149",61069976
"1150",61229882
"1151",61559624
"1152",61589796
"1153",61609634
"1154",61659986
"1155",61709633
"1156",61789808
"1157",61869988
"1158",61889833
"1159",62079928
"1160",62099951
"1161",62119849
"1162",62179888
"1163",62189814
"1164",62289597
"1165",62379912
"1166",62389829
"1167",62389887
"1168",62449976
"1169",62529948
"1170",62549981
"1171",62709904
"1172",62809619
"1173",62859966
"1174",62919778
"1175",62969568
"1176",62999896
"1177",63009821
"1178",63009935
"1179",63019857
"1180",63019938
"1181",63049923
"1182",63189976
"1183",63319749
"1184",63329930
"1185",63359779
"1186",63369805
"1187",63429888
"1188",63529808
"1189",63679811
"1190",63709941
"1191",63739689
"1192",63739795
"1193",63849948
"1194",63899984
"1195",63989615
"1196",64089846
"1197",64239709
"1198",64249721
"1199",64309818
"1200",64359776
"1201",64439905
"1202",64509787
"1203",64609833
"1204",64629817
"1205",64659992
"1206",64699870
"1207",64699907
"1208",64809999
"1209",64819787
"1210",64919918
"1211",64979914
"1212",65009677
"1213",65049619
"1214",65199766
"1215",65229949
"1216",65259730
"1217",65259994
"1218",65289989
"1219",65299979
"1220",65309994
"1221",65339888
"1222",65379955
"1223",65389934
"1224",65429891
"1225",65489581
"1226",65509546
"1227",65519932
"1228",65549871
"1229",65659888
"1230",65689935
"1231",65699550
"1232",65699912
"1233",65719947
"1234",65809806
"1235",65829806
"1236",65939871
"1237",65969947
"1238",66039611
"1239",66059678
"1240",66199815
"1241",66199904
"1242",66319865
"1243",66379971
"1244",66389810
"1245",66409862
"1246",66549851
"1247",66639808
"1248",66639826
"1249",66659994
"1250",66699775
"1251",66779592
"1252",66789769
"1253",66829747
"1254",66859810
"1255",66959986
"1256",66979624
"1257",67019924
"1258",67029559
"1259",67139912
"1260",67279580
"1261",67289981
"1262",67349677
"1263",67379981
"1264",67399949
"1265",67439758
"1266",67519883
"1267",67529820
"1268",67529920
"1269",67549933
"1270",67559548
"1271",67609874
"1272",67619735
"1273",67619756
"1274",67649965
"1275",67699603
"1276",67769883
"1277",67779997
"1278",67829997
"1279",67959707
"1280",67999992
"1281",68009896
"1282",68009981
"1283",68019964
"1284",68029961
"1285",68149871
"1286",68159810
"1287",68249985
"1288",68259756
"1289",68289783
"1290",68289942
"1291",68299894
"1292",68329889
"1293",68359993
"1294",68369727
"1295",68399975
"1296",68479607
"1297",68479723
