"week","prod_id","seasonality","holiday","big_holiday","weekly_price","weekly_discount","sales_amount","Email","Flyer","Paid_Search","Store_Display","Web_Display","TV","Radio","base_price","base","due_to_Price","due_to_Promo","due_to_Flyer","due_to_Email","due_to_Web_Display","due_to_Store_Display","due_to_Paid_Search","due_to_TV","due_to_Radio"
2016-12-04,138936952,6488.877551,"1",0,4.29,0,93,0,0,48090,0,0,0.257089842759053,0.205807093528249,3.99,97.3583367735196,-15.7021377212738,0,0,0,0,0,4.89842932458965,5.12503992025671,1.07880095301929
2016-12-11,138936952,6408.908163,"0",0,4.29,0,77,0,0,5852,0,0,0.238702556543388,0.176529105882292,3.99,86.2297440361693,-15.8265672700989,0,0,0,0,0,0.585401681083354,4.61027522550615,0.902833042704343
2016-12-18,138936952,6241.306122,"1",0,4.29,0.5,123,2e+05,0,15524,0,0,0.221412786350369,0.150955713531825,3.99,111.852595144532,-18.4723116098069,19.8750877980838,0,1.46156222642429,0,0,1.902637310082,5.30674756983228,0.947109062070742
2016-12-25,138936952,5913.846939,"1",0,4.29,0.5,80,2e+05,1,20837,0,0,0.205188848570999,0.128752761205549,3.99,72.4985957071452,-12.3742602375175,13.2067641770472,0,0.974960138125119,0,0,1.70286362119161,3.27868327739593,0.538951243285857
2017-01-01,138936952,5601.346939,"0",1,4.29,0.5,127,2e+05,1,3894,0,0,0.189994088787556,0.109573775849652,3.99,116.119584632608,-24.2106768391627,24.2766752406418,0,1.84554505053112,0,0,0.603924464392,5.71929385918426,0.869371965202876
2017-01-08,138936952,5435.05102,"0",0,4.29,0,103,0,0,12826,0,0,0.175788123658412,0.0930775720641186,3.99,117.625603515659,-22.6868908890034,0,0,0,0,0,1.81104702634781,4.81625087732233,0.674851723633339
2017-01-15,138936952,5335.27551,"0",0,4.29,0,74,0,0,31447,0,0,0.162527922758836,0.0789397964696147,3.99,82.8011238883695,-16.2230371652313,0,0,0,0,0,3.15405689086679,3.19091853451023,0.409751125815361
2017-01-22,138936952,5262.316327,"0",0,4.29,0,77,0,0,43794,0,0,0.150168738790556,0.0668598467754624,3.99,85.0995300683915,-16.8448707210279,0,0,0,0,0,4.53966578484871,3.06571659066982,0.360580158404478
2017-01-29,138936952,5252.102041,"0",0,4.29,0.5,105,0,0,37269,0,0,0.138664896988365,0.0565644056981509,3.99,94.7947857597198,-20.387212044616,20.322166289089,0,0,0,0,4.80772397278516,3.51214468090866,0.377032377311189
2017-02-05,138936952,5327.520408,"0",0,4.29,0,75,0,0,10558,0,0,0.127970455954422,0.047808598293615,3.99,87.3927358915893,-16.7853811622356,0,0,0,0,0,1.10061823298105,2.59552997631992,0.255949471894061
