Name,Rank,Count,X..100K,X..White,X..Black,X..API,X..AIAN,X..2.or.More.Races,X..Hispanic.Origin,Rank.in.2000,Count.in.2000,Change.since.2000,X..Change,Rank.change,Cumulative.proportion...100.000,race
GUASTELLA,29693,793,0.27,94.33,,,,1.13,3.66,29570,752,41,5.5%,-123,,white
GUATEMALA,40856,534,0.18,,,0,0,0,99.06,68172,270,264,97.8%,27316,,hispanic
GUAY,9923,3255,1.1,93.61,0.52,1.01,0.61,1.47,2.76,9416,3168,87,2.7%,-507,,white
GUBA,45909,438,0.16,85.39,1.14,10.96,,2.05,,,,,"",,81978,white
GUBBELS,39212,561,0.19,97.5,,,0,0.89,1.07,40083,515,46,8.9%,871,,white
GUBBINS,42030,517,0.18,93.62,0,1.35,0,1.16,3.87,40552,508,9,1.8%,-1478,,white
GUBERMAN,47654,418,0.15,96.65,,,0,1.67,,,,,"",,82253.35,white
GUBLER,25924,948,0.32,96.84,,,0,0.63,1.9,23372,1015,-67,-6.6%,-2552,,white
GUBSER,49767,396,0.15,98.23,0,,0,(S),,,,,"",,82575.83,white
GUCCIONE,31360,739,0.25,93.91,,0.81,,1.08,3.65,29904,741,-2,-0.3%,-1456,,white
GUCK,39164,562,0.19,97.15,0,1.42,,(S),,38320,543,19,3.5%,-844,,white
GUDENKAUF,45403,444,0.16,94.37,,,,1.58,2.48,,,,"",,81895.92,white
GUDENKAUF,43206,500,0.17,96,,,,1.4,1.6,45403,444,56,12.6%,2197,,white
GUDERIAN,48380,410,0.15,97.8,,,0,(S),,,,,"",,82366.51,white
GUDGEL,33241,688,0.23,92.3,,,1.74,2.76,2.33,33782,636,52,8.2%,541,,white
GUDIEL,21774,1194,0.4,2.09,,0.5,,0,96.98,31592,692,502,72.5%,9818,,hispanic
GUDINO,5903,5847,1.98,3.34,0.1,0.31,0.1,0.12,96.03,7340,4181,1666,39.8%,1437,,hispanic
GUDMUNDSON,32079,719,0.24,93.05,0,0.7,0.83,1.53,3.89,30753,715,4,0.6%,-1326,,white
GUE,20780,1271,0.43,72.54,16.99,4.17,,(S),4.48,23167,1028,243,23.6%,2387,,white
GUEBARA,27514,876,0.3,4.57,0,,0,(S),95.21,29481,755,121,16.0%,1967,,hispanic
GUEDEA,48293,411,0.15,8.76,,,0,(S),90.51,,,,"",,82353.42,hispanic
GUEDEA,43885,491,0.17,9.57,0,0,,(S),89.82,48293,411,80,19.5%,4408,,hispanic
GUEL,13795,2192,0.74,10.04,1.41,1.23,0.55,0.64,86.13,16471,1607,585,36.4%,2676,,hispanic
GUENETTE,49869,395,0.15,98.48,,,0,(S),,,,,"",,82588.73,white
GUENTHER,3621,9809,3.33,95.01,0.37,0.49,0.37,1.19,2.57,3439,9512,297,3.1%,-182,,white
GUENTHNER,31068,747,0.25,92.37,,,1.87,1.2,3.48,30716,716,31,4.3%,-352,,white
GUERARD,42455,511,0.17,90.41,2.54,0,,(S),5.87,46678,429,82,19.1%,4223,,white
GUERARD,46678,429,0.16,93.71,2.56,,0,(S),2.8,,,,"",,82102.73,white
GUERCIO,20116,1328,0.45,96.08,,,,0.83,2.64,20055,1237,91,7.4%,-61,,white
GUERECA,19166,1417,0.48,2.47,0.49,,,(S),96.33,23657,999,418,41.8%,4491,,hispanic
GUERETTE,33164,690,0.23,88.26,4.93,0.87,0,2.03,3.91,31774,687,3,0.4%,-1390,,white
GUERIN,5525,6291,2.13,84.99,6.14,1.05,0.48,1.62,5.72,5243,6115,176,2.9%,-282,,white
GUERNSEY,13376,2277,0.77,94.2,0.57,0.79,0.57,1.49,2.37,12566,2261,16,0.7%,-810,,white
GUERRA,473,70071,23.75,11.26,0.8,0.58,0.5,0.28,86.59,554,54575,15496,28.4%,81,,hispanic
GUERRANT,37125,601,0.2,67.22,25.96,,,2.5,4.16,36917,570,31,5.4%,-208,,white
GUERREIRO,42640,508,0.17,77.17,0,4.33,0,2.95,15.55,45909,438,70,16.0%,3269,,white
GUERREIRO,45909,438,0.16,72.83,0,5.48,0,6.16,15.53,,,,"",,81978.16,white
GUERRERA,15370,1908,0.65,75.26,,0.58,,0.89,22.96,15473,1737,171,9.8%,103,,white
GUERRERO,234,128677,43.62,4.55,0.33,2.2,0.22,0.43,92.27,291,94152,34525,36.7%,57,,hispanic
GUERRETTE,27732,867,0.29,97.92,,,0,0.58,1.04,27744,816,51,6.3%,12,,white
GUERRIER,9628,3372,1.14,7.47,85.38,0.5,0.33,3.08,3.23,12925,2180,1192,54.7%,3297,,black
GUERRIERI,24890,999,0.34,96.6,0.5,,,0.6,2.1,17781,1452,-453,-31.2%,-7109,,white
GUERRIERO,11504,2734,0.93,94.44,0.55,0.26,0,0.69,4.06,13344,2095,639,30.5%,1840,,white
GUERRINI,47838,416,0.15,94.71,,1.2,0,(S),3.13,,,,"",,82283.19,white
GUERRY,36099,621,0.21,88.41,6.44,,,2.09,2.09,32059,679,-58,-8.5%,-4040,,white
GUERTIN,10402,3097,1.05,94.67,0.58,0.71,0.19,1.55,2.29,9859,3024,73,2.4%,-543,,white
GUESS,4507,7871,2.67,73.46,20.25,0.48,1.07,2.69,2.05,4344,7569,302,4.0%,-163,,white
GUEST,3737,9483,3.21,78.41,16.05,0.72,0.62,1.93,2.27,3512,9309,174,1.9%,-225,,white
GUETTLER,46944,426,0.16,98.12,,0,,1.17,0,,,,"",,82143.31,white
GUEVARA,746,46454,15.75,4.34,0.51,2.71,0.2,0.34,91.9,1039,30844,15610,50.6%,293,,hispanic
GUEVARRA,13660,2216,0.75,3.25,,73.78,,2.12,20.31,17466,1488,728,48.9%,3806,,asian
GUEYE,20750,1274,0.43,2.43,94.58,,,1.81,0.94,39111,530,744,140.4%,18361,,black
GUFFEY,4828,7307,2.48,94.9,0.3,0.34,0.92,1.35,2.19,4635,6995,312,4.5%,-193,,white
GUFFIN,47575,419,0.16,76.85,19.33,,1.43,1.67,,,,,"",,82242.64,white
GUGEL,32834,699,0.24,95.57,,0.72,,1.43,1.29,31464,696,3,0.4%,-1370,,white
GUGGENHEIM,42790,506,0.17,95.85,,,0,1.19,2.37,40265,512,-6,-1.2%,-2525,,white
GUGGISBERG,46944,426,0.16,98.59,,0,0,(S),,,,,"",,82143.46,white
GUGINO,32834,699,0.24,96.71,0,,,(S),2,32652,663,36,5.4%,-182,,white
GUGLIELMI,29041,817,0.28,94.12,0,,,(S),5.14,29390,758,59,7.8%,349,,white
GUGLIELMO,14382,2078,0.7,95.28,,0.43,,0.63,3.42,13820,2008,70,3.5%,-562,,white
GUGLIOTTA,30665,760,0.26,93.16,,0.66,,1.18,4.08,29261,762,-2,-0.3%,-1404,,white
GUGLIUZZA,39281,560,0.19,95.18,,1.07,,1.25,2.32,40083,515,45,8.7%,802,,white
GUHA,37029,603,0.2,3.48,,89.88,,5.8,,54766,352,251,71.3%,17737,,asian
GUHL,33567,679,0.23,93.52,,1.03,,2.21,2.36,30645,718,-39,-5.4%,-2922,,white
GUIA,49057,403,0.15,13.4,,12.66,,1.49,71.46,,,,"",,82469.62,hispanic
GUIDA,10736,2974,1.01,89.68,0.91,1.61,,(S),6.93,10504,2805,169,6.0%,-232,,white
GUIDI,19513,1384,0.47,89.23,1.3,,,1.59,6.58,19599,1273,111,8.7%,86,,white
GUIDICE,29854,787,0.27,94.28,,,0,0.76,4.32,27901,810,-23,-2.8%,-1953,,white
GUIDOTTI,30538,764,0.26,90.31,,2.09,,1.31,5.37,29099,767,-3,-0.4%,-1439,,white
GUIDROZ,16704,1714,0.58,85.88,9.04,,,1.69,2.1,16571,1595,119,7.5%,-133,,white
GUIDRY,1739,20600,6.98,76.54,18.6,0.43,1.06,1.53,1.84,1645,19967,633,3.2%,-94,,white
GUIER,46944,426,0.16,97.18,,,,(S),1.41,,,,"",,82143.62,white
GUIFARRO,37591,592,0.2,3.72,,0,0,(S),95.44,64385,289,303,104.8%,26794,,hispanic
GUIFFRE,43369,498,0.17,93.17,,,,1.61,4.02,44027,461,37,8.0%,658,,white
GUIJARRO,25255,981,0.33,3.26,,0,0,(S),96.43,32703,662,319,48.2%,7448,,hispanic
GUIJOSA,29768,790,0.27,1.9,0.76,,,0,97.22,43290,470,320,68.1%,13522,,hispanic
GUILBAULT,26873,904,0.31,95.13,,0.66,,1.88,1.99,26538,864,40,4.6%,-335,,white
GUILBEAU,17290,1637,0.55,84.73,11.61,,,0.92,1.95,16463,1608,29,1.8%,-827,,white
GUILBERT,35294,638,0.22,82.92,2.19,1.57,1.25,2.82,9.25,34673,617,21,3.4%,-621,,white
GUILD,11250,2810,0.95,88.83,4.41,1.32,0.57,1.96,2.92,10611,2771,39,1.4%,-639,,white
GUILE,33530,680,0.23,89.56,4.56,1.03,0,1.47,3.38,31738,688,-8,-1.2%,-1792,,white
GUILES,23386,1088,0.37,83.92,9.83,,,2.21,2.76,20284,1220,-132,-10.8%,-3102,,white
GUILFOIL,45735,440,0.16,97.05,,0,,(S),1.59,,,,"",,81950.16,white
GUILFOYLE,16427,1751,0.59,92.23,,1.03,,2.74,3.31,16411,1615,136,8.4%,-16,,white
GUILIANO,28311,844,0.29,94.67,,,,1.42,2.96,29261,762,82,10.8%,950,,white
GUILL,15806,1842,0.62,92.18,0.87,0.54,0.87,1.74,3.8,15235,1773,69,3.9%,-571,,white
GUILLAUME,9987,3230,1.09,26.87,67.65,,,2.32,2.6,11719,2451,779,31.8%,1732,,black
GUILLEMETTE,23750,1065,0.36,93.15,0.47,0.47,0.66,0.85,4.41,24061,978,87,8.9%,311,,white
GUILLEN,1166,30153,10.22,4.74,0.33,0.92,0.17,0.22,93.63,1550,21257,8896,41.8%,384,,hispanic
GUILLET,38850,568,0.19,71.65,14.26,,,2.46,9.15,38706,537,31,5.8%,-144,,white
GUILLETTE,48021,414,0.15,92.75,3.14,,,(S),3.38,,,,"",,82311.51,white
GUILLETTE,41799,520,0.18,91.54,5,,,(S),2.12,48021,414,106,25.6%,6222,,white
GUILLIAMS,15363,1909,0.65,90.15,5.71,0.31,0.58,1.05,2.2,15870,1683,226,13.4%,507,,white
GUILLOT,7473,4457,1.51,88.06,4.22,0.74,0.34,1.19,5.45,7055,4371,86,2.0%,-418,,white
GUILLOTTE,25037,992,0.34,90.02,4.64,,,2.02,2.92,23300,1020,-28,-2.7%,-1737,,white
GUILMETTE,19145,1419,0.48,95.21,0.7,,,0.85,2.33,18246,1404,15,1.1%,-899,,white
GUIMARAES,21144,1242,0.42,85.43,2.74,1.61,0.72,1.53,7.97,27313,832,410,49.3%,6169,,white
GUIMOND,16444,1749,0.59,96.17,0.34,0.57,0.51,1.2,1.2,15020,1805,-56,-3.1%,-1424,,white
GUIMONT,45735,440,0.16,80.68,8.86,,3.18,4.55,,,,,"",,81950.32,white
GUIN,11675,2685,0.91,83.31,7.56,2.09,0.48,1.64,4.92,11070,2635,50,1.9%,-605,,white
GUINAN,16601,1727,0.59,87.49,0.41,3.01,0,1.51,7.59,16571,1595,132,8.3%,-30,,white
GUINDON,34618,653,0.22,94.18,,,0.77,1.38,2.6,33876,634,19,3.0%,-742,,white
GUINEY,33450,682,0.23,95.89,,,,1.03,1.61,26807,853,-171,-20.0%,-6643,,white
GUINN,2868,12577,4.26,82.15,10.32,0.62,2.09,2.31,2.51,2625,12641,-64,-0.5%,-243,,white
GUINTA,32562,706,0.24,94.05,,,0,0.99,4.53,29142,766,-60,-7.8%,-3420,,white
GUINYARD,29138,813,0.28,3.08,92.74,,,1.35,2.58,30682,717,96,13.4%,1544,,black
GUIRGUIS,22375,1151,0.39,94.53,1.3,0.87,0,2,1.3,27618,821,330,40.2%,5243,,white
GUISE,19774,1361,0.46,79.06,15.8,,,1.84,1.84,19007,1326,35,2.6%,-767,,white
GUISINGER,32485,708,0.24,95.2,,1.27,0.99,(S),1.55,31014,708,0,0.0%,-1471,,white
GUITRON,23750,1065,0.36,4.32,0,,0,(S),95.31,29040,769,296,38.5%,5290,,hispanic
GUITY,27678,869,0.29,2.3,17.49,,,0.81,78.48,33993,632,237,37.5%,6315,,hispanic
GUIZAR,10803,2951,1,3.96,,0.71,0,(S),95.05,13085,2144,807,37.6%,2282,,hispanic
GULA,15221,1935,0.66,75.92,2.07,4.96,,(S),15.5,16938,1549,386,24.9%,1717,,white
GULAS,48665,407,0.15,96.07,,0,,(S),2.21,,,,"",,82410.29,white
GULATI,17323,1632,0.55,6.25,,86.95,,4.35,1.59,24224,970,662,68.2%,6901,,asian
GULBRANDSEN,47210,423,0.16,96.93,0,2.13,0,(S),,,,,"",,82186.59,white
GULBRANDSEN,43885,491,0.17,97.35,0,1.02,0,(S),,47210,423,68,16.1%,3325,,white
GULBRANDSON,48776,406,0.15,97.78,,,0,0,1.72,,,,"",,82427.62,white
GULBRANSON,25102,989,0.34,94.34,,1.01,,1.52,2.22,24007,981,8,0.8%,-1095,,white
GULDEN,25445,972,0.33,95.37,0.72,0.51,0,0.93,2.47,22934,1042,-70,-6.7%,-2511,,white
GULDIN,42790,506,0.17,97.23,,,0,1.19,1.19,45735,440,66,15.0%,2945,,white
GULDIN,45735,440,0.16,98.18,,0,0,(S),1.14,,,,"",,81950.49,white
GULICK,9074,3602,1.22,94.86,0.22,0.86,0.14,1.39,2.53,8613,3517,85,2.4%,-461,,white
GULINO,20285,1311,0.44,94.81,,0.46,,0.38,4.2,18569,1370,-59,-4.3%,-1716,,white
GULL,24855,1001,0.34,89.21,1.6,5.79,,(S),1.6,23683,998,3,0.3%,-1172,,white
GULLA,26422,924,0.31,90.48,,6.06,,0.87,1.95,22011,1098,-174,-15.8%,-4411,,white
GULLEDGE,8631,3810,1.29,85.88,9.53,0.42,0.6,1.86,1.71,8097,3772,38,1.0%,-534,,white
GULLETT,8036,4117,1.4,89.09,6.83,0.39,0.27,1.36,2.06,7587,4041,76,1.9%,-449,,white
GULLICK,31251,742,0.25,84.77,7.55,1.75,,4.31,,29662,749,-7,-0.9%,-1589,,white
GULLICKSON,12986,2364,0.8,94.63,,,1.52,1.14,2.03,12052,2376,-12,-0.5%,-934,,white
GULLIFORD,38532,574,0.19,83.28,8.54,1.39,0,3.31,3.48,37429,560,14,2.5%,-1103,,white
GULLIKSON,47485,420,0.16,90,0,,7.62,1.19,,,,,"",,82228.32,white
GULLION,16376,1758,0.6,94.2,1.02,,,1.25,2.79,16293,1628,130,8.0%,-83,,white
GULLIVER,27756,866,0.29,80.6,10.85,,,2.89,4.85,27694,818,48,5.9%,-62,,white
GULLO,13368,2280,0.77,90.92,,2.28,,1.18,5.09,12773,2217,63,2.8%,-595,,white
GULOTTA,27204,889,0.3,94.94,0.9,0.67,,(S),3.04,27924,809,80,9.9%,720,,white
GULYAS,42579,509,0.17,94.3,1.38,,0,(S),3.54,40690,506,3,0.6%,-1889,,white
GUM,12504,2479,0.84,88.66,2.26,4.28,0.56,1.9,2.34,10912,2676,-197,-7.4%,-1592,,white
GUMBERT,37899,586,0.2,94.88,,1.02,,1.88,1.71,35860,592,-6,-1.0%,-2039,,white
GUMBS,15527,1885,0.64,7.06,74.54,0.64,0.95,4.88,11.94,16275,1631,254,15.6%,748,,black
GUMINA,37029,603,0.2,95.52,0,1.49,,(S),1.99,34210,627,-24,-3.8%,-2819,,white
GUMM,11241,2812,0.95,92.39,2.67,0.53,0.64,1.85,1.92,9401,3176,-364,-11.5%,-1840,,white
GUMP,12584,2460,0.83,94.43,0.57,0.28,2.03,1.22,1.46,12437,2289,171,7.5%,-147,,white
GUMPERT,41799,520,0.18,93.85,,,,1.15,4.04,38644,538,-18,-3.3%,-3155,,white
GUNAWAN,30339,771,0.26,2.59,,93.39,,3.24,0.65,38198,545,226,41.5%,7859,,asian
GUNBY,35345,637,0.22,68.29,27,,,2.35,2.2,36232,584,53,9.1%,887,,white
GUNDER,30946,751,0.25,84.95,9.59,1.2,0.67,2.53,1.07,27028,843,-92,-10.9%,-3918,,white
GUNDERMAN,26833,906,0.31,97.02,,0.77,,0.77,0.88,22809,1049,-143,-13.6%,-4024,,white
GUNDERSEN,15883,1831,0.62,92.68,,,2.95,1.69,1.53,15835,1688,143,8.5%,-48,,white
GUNDERSON,2624,13742,4.66,94.59,0.33,0.6,1.03,1.42,2.04,2442,13583,159,1.2%,-182,,white
GUNDLACH,15985,1816,0.62,96.42,,0.44,,0.99,1.65,14671,1858,-42,-2.3%,-1314,,white
GUNDRUM,20125,1327,0.45,94.12,2.94,,,1.13,1.13,20578,1197,130,10.9%,453,,white
GUNDRY,38850,568,0.19,96.13,,1.41,0,1.41,,43232,471,97,20.6%,4382,,white
GUNDY,22944,1115,0.38,71.75,22.96,0.45,0.45,2.87,1.52,21230,1152,-37,-3.2%,-1714,,white
GUNKEL,24517,1020,0.35,93.82,,1.37,,1.27,2.25,22427,1071,-51,-4.8%,-2090,,white
GUNN,1525,23524,7.97,67.84,25.98,0.99,0.57,2.38,2.23,1475,22120,1404,6.3%,-50,,white
GUNNARSON,45829,439,0.16,95.9,,,0,2.51,,,,,"",,81964.83,white
GUNNELL,13383,2276,0.77,89.85,6.81,0.44,0.22,1.05,1.63,13554,2055,221,10.8%,171,,white
GUNNELLS,18137,1535,0.52,86.06,7.43,0.33,0.39,2.54,3.26,18802,1347,188,14.0%,665,,white
GUNNELS,13453,2264,0.77,86.53,7.73,0.4,0.71,1.99,2.65,12360,2305,-41,-1.8%,-1093,,white
GUNNERSON,39212,561,0.19,93.05,2.67,,,1.43,1.43,38035,548,13,2.4%,-1177,,white
GUNNING,9646,3364,1.14,88.73,4.79,1.01,0.3,1.78,3.39,9458,3154,210,6.7%,-188,,white
GUNNOE,25037,992,0.34,91.03,0.71,0.6,0.6,1.01,6.05,24453,959,33,3.4%,-584,,white
GUNTER,1457,24513,8.31,82.06,13.03,0.57,0.59,1.81,1.94,1368,23775,738,3.1%,-89,,white
GUNTHER,4501,7882,2.67,90,4.88,0.56,0.24,1.54,2.78,4047,8069,-187,-2.3%,-454,,white
GUO,2975,12048,4.08,1.1,0.32,97.77,0,0.66,0.17,5287,6058,5990,98.9%,2312,,asian
GUPTA,1886,19057,6.46,3.14,0.26,93.78,0.31,2.02,0.48,3172,10376,8681,83.7%,1286,,asian
GUPTILL,20553,1290,0.44,96.74,,,0.62,1.16,0.78,19953,1245,45,3.6%,-600,,white
GUPTON,12602,2456,0.83,74.06,22.8,,,1.47,1.38,11712,2452,4,0.2%,-890,,white
GURA,26313,928,0.31,94.72,0.97,,,1.29,2.59,25430,914,14,1.5%,-883,,white
GURAL,39773,552,0.19,94.38,,1.27,,1.09,3.08,42363,482,70,14.5%,2590,,white
GUREVICH,21371,1225,0.42,98.2,,,0,(S),1.14,22258,1081,144,13.3%,887,,white
GURGANIOUS,49249,401,0.15,75.31,23.44,0,0,1.25,0,,,,"",,82499.88,white
GURGANUS,15020,1966,0.67,94.71,0.86,0.41,0.31,1.53,2.19,14521,1882,84,4.5%,-499,,white
GURKA,35764,628,0.21,92.99,,1.11,,2.39,2.39,34503,621,7,1.1%,-1261,,white
GURLEY,4098,8669,2.94,72.68,22.44,0.23,0.45,1.9,2.3,4068,8042,627,7.8%,-30,,white
GURNEE,45735,440,0.16,95.68,,0,0,(S),3.86,,,,"",,81950.65,white
GURNEY,7336,4547,1.54,94.35,1.41,0.75,0.2,1.28,2.02,7149,4311,236,5.5%,-187,,white
GURNSEY,48776,406,0.15,97.54,0,,0,1.23,,,,,"",,82427.77,white
GURR,22944,1115,0.38,90.67,0.81,2.24,0.54,3.77,1.97,22870,1045,70,6.7%,-74,,white
GURROLA,4883,7211,2.44,4.58,0.19,0.14,0.4,0.26,94.43,6078,5205,2006,38.5%,1195,,hispanic
GURRY,48665,407,0.15,90.42,6.14,,,1.23,1.23,,,,"",,82410.44,white
GURSKI,32123,718,0.24,94.71,,0.7,,(S),3.62,30324,728,-10,-1.4%,-1799,,white
GURSKY,27514,876,0.3,95.55,,,1.14,1.6,1.03,26614,861,15,1.7%,-900,,white
GURULE,6848,4915,1.67,18.01,0.35,0.53,1.3,0.9,78.92,6760,4596,319,6.9%,-88,,hispanic
GURUNG,9427,3450,1.17,1.3,0.2,95.57,0.14,2.29,0.49,50801,386,3064,793.8%,41374,,asian
GUSE,18431,1502,0.51,95.21,,0.8,,1.26,2,17695,1461,41,2.8%,-736,,white
GUSHUE,47210,423,0.16,98.35,,,0,0,1.18,,,,"",,82186.75,white
GUSLER,31453,736,0.25,95.38,0.82,,,1.77,1.49,31271,701,35,5.0%,-182,,white
GUSMAN,8097,4095,1.39,14.26,3,2,0.12,1.9,78.71,7563,4055,40,1.0%,-534,,hispanic
GUSS,15658,1865,0.63,78.71,14.96,0.97,0.48,2.04,2.84,11660,2465,-600,-24.3%,-3998,,white
GUST,9652,3362,1.14,92.8,0.71,0.33,2.71,1.04,2.41,9046,3323,39,1.2%,-606,,white
GUSTAFSON,1333,26421,8.96,95.58,0.24,0.56,0.49,1.42,1.71,1213,26433,-12,0.0%,-120,,white
GUSTAVE,22791,1124,0.38,8.54,82.12,,,3.02,5.96,28194,799,325,40.7%,5403,,black
GUSTAVSON,17406,1621,0.55,95.19,0.37,0.74,0.37,1.17,2.16,16138,1647,-26,-1.6%,-1268,,white
GUSTIN,6937,4832,1.64,91.6,2.5,0.95,0.54,1.51,2.9,6442,4862,-30,-0.6%,-495,,white
GUT,34574,654,0.22,84.71,1.38,0.92,,(S),12.54,36672,575,79,13.7%,2098,,white
GUTEKUNST,35395,636,0.22,97.8,,,0,(S),1.26,36045,588,48,8.2%,650,,white
GUTH,9418,3453,1.17,95.37,0.49,1.25,0.23,1.04,1.62,8707,3474,-21,-0.6%,-711,,white
GUTHERY,31824,725,0.25,88.41,6.62,,,2.76,1.1,30383,726,-1,-0.1%,-1441,,white
GUTHMILLER,27818,863,0.29,96.99,0,,,(S),1.97,27085,841,22,2.6%,-733,,white
GUTHRIDGE,28065,853,0.29,81.01,14.42,,,1.41,2.93,26104,882,-29,-3.3%,-1961,,white
GUTHRIE,1095,31956,10.83,88.05,5.85,0.64,1.21,2.04,2.2,1015,31530,426,1.4%,-80,,white
GUTIERRES,10416,3090,1.05,3.37,,0.91,,0.19,95.4,9417,3167,-77,-2.4%,-999,,hispanic
GUTIERREZ,67,293218,99.4,4.57,0.24,1.4,0.25,0.2,93.33,96,212905,80313,37.7%,29,,hispanic
GUTKNECHT,24012,1050,0.36,95.71,,0.57,,0.86,2.1,22481,1068,-18,-1.7%,-1531,,white
GUTKOWSKI,39212,561,0.19,98.93,0,,0,0.89,,37266,563,-2,-0.4%,-1946,,white
GUTMAN,10499,3056,1.04,86.55,,0.46,,0.65,11.98,10633,2765,291,10.5%,134,,white
GUTMANN,26671,913,0.31,94.74,,0.55,,1.31,3.07,27562,823,90,10.9%,891,,white
GUTOWSKI,11578,2715,0.92,95.21,,0.66,,1.51,2.21,10829,2702,13,0.5%,-749,,white
GUTRIDGE,35447,635,0.22,86.61,7.56,,,2.2,2.68,34459,622,13,2.1%,-988,,white
GUTSHALL,16848,1694,0.57,95.99,0.3,0.77,0.71,0.77,1.48,15844,1687,7,0.4%,-1004,,white
GUTT,42720,507,0.17,88.56,1.97,1.78,,(S),6.11,40139,514,-7,-1.4%,-2581,,white
GUTTIERREZ,41359,526,0.18,16.73,,,,(S),81.37,38644,538,-12,-2.2%,-2715,,hispanic
GUTTMAN,15912,1826,0.62,96.17,,0.66,,0.71,2.3,16028,1662,164,9.9%,116,,white
GUTWEIN,37180,600,0.2,98.5,,0,0,(S),0.83,37480,559,41,7.3%,300,,white
GUTZMAN,36630,610,0.21,91.48,0.98,,,1.64,5.08,36328,582,28,4.8%,-302,,white
GUTZMER,39004,565,0.19,91.33,4.6,,,0.88,1.95,37266,563,2,0.4%,-1738,,white
GUTZWILLER,39960,549,0.19,96.54,0,,,1.82,0.91,39444,525,24,4.6%,-516,,white
GUY,1227,28852,9.78,67.88,24.98,1.01,1.43,2.33,2.37,1150,27934,918,3.3%,-77,,white
GUYER,6781,4974,1.69,95.58,0.28,0.48,0.76,0.88,2.01,6247,5036,-62,-1.2%,-534,,white
GUYETTE,12064,2585,0.88,93.93,0.27,0.62,0.58,1.82,2.79,11385,2538,47,1.9%,-679,,white
GUYMON,19087,1426,0.48,96.84,,0.49,,0.7,1.75,19388,1292,134,10.4%,301,,white
GUYNES,24747,1007,0.34,83.12,8.84,,1.89,(S),4.47,23863,988,19,1.9%,-884,,white
GUYNN,15727,1854,0.63,86.79,9.76,0.43,0.7,1.4,0.92,14898,1822,32,1.8%,-829,,white
GUYON,40976,532,0.18,83.46,5.08,,,3.76,5.08,35666,596,-64,-10.7%,-5310,,white
GUYOT,33410,683,0.23,82.43,,4.25,,4.1,5.27,34071,630,53,8.4%,661,,white
GUZA,41579,523,0.18,96.94,,0,,(S),2.1,41448,495,28,5.7%,-131,,white
GUZEK,40800,535,0.18,97.01,0,,,0.93,1.31,41060,501,34,6.8%,260,,white
GUZIK,16362,1760,0.6,96.7,,0.34,,0.74,1.88,15031,1803,-43,-2.4%,-1331,,white
GUZMAN,154,167044,56.63,4.11,0.42,1.29,0.15,0.27,93.77,230,118390,48654,41.1%,76,,hispanic
GUZY,34223,663,0.22,94.42,0,,0,(S),4.37,32782,660,3,0.5%,-1441,,white
GUZZARDO,35866,626,0.21,94.25,,,0,1.28,3.51,31884,684,-58,-8.5%,-3982,,white
GUZZETTA,38265,579,0.2,95.16,,,,(S),3.28,35957,590,-11,-1.9%,-2308,,white
GUZZI,24982,995,0.34,95.78,,,0,0.7,3.12,22274,1080,-85,-7.9%,-2708,,white
GUZZO,15541,1883,0.64,93.79,,0.32,,0.74,4.89,14737,1848,35,1.9%,-804,,white
GWALTNEY,10671,2997,1.02,87.09,9.18,0.2,0.4,1.87,1.27,9752,3059,-62,-2.0%,-919,,white
GWARTNEY,43969,490,0.17,93.06,,,2.24,2.65,,40761,505,-15,-3.0%,-3208,,white
GWILLIAM,41657,522,0.18,94.44,,,0,(S),4.41,48380,410,112,27.3%,6723,,white
GWILLIAM,48380,410,0.15,96.59,0,0,0,0,3.41,,,,"",,82366.82,white
GWIN,7006,4781,1.62,83.33,8.66,0.84,1.8,2.47,2.91,6491,4822,-41,-0.9%,-515,,white
GWINN,6915,4852,1.64,83.24,11.91,0.76,0.8,1.59,1.69,6725,4625,227,4.9%,-190,,white
GWINNER,47575,419,0.16,95.47,,,0,1.91,1.19,,,,"",,82242.79,white
GWOZDZ,34916,646,0.22,98.3,0,0,0,0,1.7,39617,522,124,23.8%,4701,,white
GWYN,13278,2297,0.78,70.53,24.03,0.39,0.52,2.7,1.83,12851,2195,102,4.6%,-427,,white
GYAMFI,35147,641,0.22,1.09,95.48,,,1.87,0.94,57985,328,313,95.4%,22838,,black
HA,1987,18156,6.16,3.67,0.69,92.93,0.04,2.03,0.63,2558,12988,5168,39.8%,571,,asian
HAACK,8594,3832,1.3,94.55,0.29,0.47,1.2,0.86,2.64,7941,3864,-32,-0.8%,-653,,white
HAACKE,40261,544,0.18,96.69,,,1.1,(S),,39499,524,20,3.8%,-762,,white
HAAF,48567,408,0.15,96.81,,0,1.23,(S),,,,,"",,82394.42,white
HAAG,3576,9957,3.38,94.35,0.33,0.97,0.9,1.33,2.12,3396,9645,312,3.2%,-180,,white
HAAGENSON,46426,432,0.16,96.76,,,0,(S),1.62,,,,"",,82061.7,white
HAAK,12821,2405,0.82,96.76,0.25,0.25,0.25,0.91,1.58,12686,2236,169,7.6%,-135,,white
HAAKE,18184,1530,0.52,94.12,,1.31,,2.48,1.83,18225,1407,123,8.7%,41,,white
HAAKENSON,28777,827,0.28,95.16,,1.33,,0.85,1.81,28548,786,41,5.2%,-229,,white
HAALAND,27392,881,0.3,96.82,,,,0.57,1.59,28912,774,107,13.8%,1520,,white
