node,companyid,l4c,l4c_scaled,gender,ethnicity,age_diff,geo_dist,ivyplus,prior_investments_success,complementarity,exec_age,male_exec,nonwhite_exec,ivyplus_exec,year,comp_lon,comp_lat,neighborhood_edges,no_deals_nh,no_deals_5year_nh,company_state
46564-66F,53991-01,0,0,1,.66666669,11,2644370.3,0,0,1,0,1,0,0,2007,-95.3573,29.695879,47,15,96,
46564-66F,51228-46,0,0,0,1,12,11605.302,0,0,1,0,1,0,0,2008,-122.07846,37.389488,60,12,40,Out of business
46564-66F,51432-13,0,0,1,1,12,2407687.8,0,0,0,0,1,0,0,2008,-97.703918,30.384205,60,12,40,Startup
46566-28F,104563-63,0,0,1,1,7,46445.164,0,0,.75,0,0,0,0,2016,-111.79449,40.394234,104,8,72,Generating revenue
46566-28F,126395-83,0,0,1,0,2,12826.761,0,0,0,0,0,0,0,2014,-117.87453,33.634823,60,5,5,Generating revenue
46566-28F,104317-93,0,0,1,0,3,18032.934,0,0,0,0,0,0,0,2015,-118.26434,34.052563,97,2,12,Exit
46568-98F,86376-70,0,0,1,1,5,45392.145,0,0,.33333334,0,1,0,0,2015,-122.40793,37.792679,38,6,24,
46571-86F,100867-06,436,.96674055,1,1,18,4139048.8,0,0,1,0,1,0,0,2014,-74.003647,40.709679,451,44,158,Generating revenue
46571-86F,82557-46,503,1.0414078,1,1,19,22761.945,1,0,1,0,1,0,0,2015,-122.39577,37.766529,483,9,86,Startup
46571-86F,98257-42,503,1.0414078,1,.5,18,16476.551,0,0,1,1,1,0,0,2015,-122.39577,37.766529,483,18,172,Generating revenue
46571-86F,169285-24,448,1.1172069,1,1,17,966124.88,0,0,1,4,1,0,0,2017,-111.79449,40.394234,401,18,207,Not profitable
46571-86F,98315-47,448,1.1172069,1,1,21,29541.064,0,0,1,0,1,0,0,2017,-122.25855,37.868576,401,6,69,Startup
46571-86F,172235-17,448,1.1172069,1,0,20,535827.5,.5,0,1,1,1,0,0,2017,-118.408,33.942501,401,12,138,Generating revenue
46571-86F,54083-44,203,.5272727,1,1,6,2828304,0,0,1,2,1,0,0,2013,-87.635384,41.888626,385,62,270,Generating revenue
46571-86F,54895-69,203,.5272727,1,1,8,4168397,0,0,1,0,1,0,0,2013,-73.545059,41.081394,385,93,405,Generating revenue
