q326,q327,q328,q329,q330,q331,q332,q333,q334,q335,q336,q395,q396,q397,q398,q399,q400,q401,q402,q403,q404,q405,q406,q407,q408,F_GT_UGA,F_GT,F_UGA,F_ONLY
0,,,1,0,0,0,0,0,0,0,Male,35-44,Advanced or professional degree,White,,,,,,,Yes,Yes,"$150k-$249,999",30082,0,1,0,0
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,1,0
0,,,1,0,0,0,0,0,0,0,Female,45-54,Bachelors degree,White,,,,,,,No,Yes,"$100k-$149,999",30318,0,0,1,0
4,1,Role playing game,3,2,0,0,1,0,0,0,Male,25-34,Bachelors degree,White,,,,,,,No,No,Less than $25k,60637,0,0,1,0
2,1,Role playing game,3,2,0,0,0,0,1,0,Male,45-54,Some college,,,,,,Other,,Yes,Yes,"$50k-$74,999",30101,1,0,0,0
2,1,Sports,1,0,0,0,0,0,0,0,Male,25-34,Bachelors degree,White,,,,,,,No,No,"$50k-$74,999",30068,0,0,0,1
3,1,Sports,2,0,0,0,0,0,0,0,Male,25-34,Bachelors degree,White,,,,,,,Yes,Yes,"$50k-$74,999",30024,0,0,1,0
0,,,1,0,0,0,0,0,0,0,Male,35-44,Bachelors degree,,,,Asian,,,,Yes,Yes,"$150k-$249,999",30092,0,1,0,0
5,0,Other,5,0,0,0,0,0,0,0,Male,55-64,Bachelors degree,White,,,,,,,Yes,No,"$100k-$149,999",,1,0,0,0
4,2,Sports,3,1,0,1,0,0,0,0,Male,45-54,Bachelors degree,White,,,,,,,Yes,Yes,"$100k-$149,999",30519,0,0,1,0
0,,,1,0,0,0,0,0,0,0,Male,25-34,Advanced or professional degree,White,,,,,,,Yes,Yes,"$100k-$149,999",30060,0,1,0,0
0,,,1,0,0,0,0,0,0,0,Female,45-54,Some college,White,,,,,,,Yes,No,"$150k-$249,999",,0,0,0,1
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,1
4,2,Sports,2,0,0,0,0,0,0,0,Male,25-34,Some college,White,,,,,,,No,No,"$50k-$74,999",30062,0,0,0,1
3,1,Other,3,2,0,0,0,0,0,1,Male,35-44,Technical degree,White,,,,,,,Yes,Yes,Prefer not to answer,30252,1,0,0,0
0,,Other,5,3,0,0,0,0,1,0,Male,65+,Advanced or professional degree,White,,,,,,,Yes,No,"$150k-$249,999",30327,0,1,0,0
2,1,Sports,2,0,0,0,0,0,0,0,Male,45-54,Bachelors degree,White,,,,,,,Yes,Yes,$250k or more,30024,1,0,0,0
1,0,Role playing game,1,0,0,0,0,0,0,0,Female,55-64,Advanced or professional degree,White,,,,,,,No,No,Prefer not to answer,30064,0,0,0,1
0,,Sports,1,0,0,0,0,0,0,0,Male,35-44,Bachelors degree,White,,,,,,,Yes,Yes,"$150k-$249,999",30188,0,0,1,0
0,,Sports,1,0,0,0,0,0,0,0,Male,35-44,Advanced or professional degree,White,,,,,,,Yes,Yes,"$100k-$149,999",30228,1,0,0,0
0,,Sports,2,0,0,0,0,0,0,0,Male,25-34,Some college,White,,,,,,,Yes,Yes,"$100k-$149,999",30126,0,0,1,0
0,,,1,0,0,0,0,0,0,0,Female,55-64,Some college,White,,,,,,,Yes,No,Prefer not to answer,31210,0,0,1,0
0,,Other,1,0,0,0,0,0,0,0,Prefer not to answer,Prefer not to answer,Prefer not to answer,,,African American,,,,,Prefer not to answer,Prefer not to answer,Prefer not to answer,30082,0,1,0,0
0,,,3,0,0,0,0,0,0,0,,,,,,,,,,,,,,,1,0,0,0
1,1,Sports,3,0,0,0,0,0,0,0,Male,25-34,Some college,White,,,,,,,Yes,Yes,"$75k-$99,999",30342,1,0,0,0
0,,,1,0,0,0,0,0,0,0,Male,55-64,Bachelors degree,White,,,,,,,Yes,No,Prefer not to answer,,0,1,0,0
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,1
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,0
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,1,0
0,,,1,0,0,0,0,0,0,0,Male,55-64,Bachelors degree,White,,,,,,,Yes,No,"$150k-$249,999",30068,0,1,0,0
0,,,1,0,0,0,0,0,0,0,Male,55-64,Bachelors degree,White,,,,,,,Yes,No,$250k or more,30309,0,0,1,0
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,1
5,2,Role playing game,5,0,0,0,0,0,0,0,Male,25-34,Bachelors degree,White,,,,,,,No,No,"$50k-$74,999",30313,0,1,0,0
0,,,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,1
0,,Other,1,0,0,0,0,0,0,0,Male,45-54,Bachelors degree,White,,,,,,,No,Yes,"$100k-$149,999",30319,0,1,0,0
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,0,1,0,0
